iter	Passed	Remaining
1382	81322	36280
1383	81388	36225
1384	81447	36166
1385	81509	36108
1386	81567	36049
1387	81628	35991
1388	81696	35936
1389	81762	35881
1390	81832	35827
1391	81894	35769
1392	81958	35713
1393	82031	35660
1394	82096	35604
1395	82158	35546
1396	82222	35490
1397	82283	35432
1398	82352	35377
1399	82413	35320
1400	82470	35260
1401	82538	35205
1402	82600	35148
1403	82653	35086
1404	82724	35032
1405	82779	34972
1406	82834	34911
1407	82907	34858
1408	82979	34805
1409	83045	34749
1410	83108	34692
1411	83187	34641
1412	83252	34585
1413	83314	34527
1414	83375	34469
1415	83439	34413
1416	83513	34360
1417	83574	34302
1418	83643	34247
1419	83698	34186
1420	83758	34128
1421	83817	34069
1422	83880	34011
1423	83946	33955
1424	84022	33903
1425	84077	33843
1426	84151	33790
1427	84210	33731
1428	84279	33676
1429	84353	33623
1430	84415	33565
1431	84471	33505
1432	84536	33448
1433	84594	33389
1434	84653	33330
1435	84707	33269
1436	84771	33212
1437	84840	33157
1438	84896	33097
1439	84954	33037
1440	85019	32981
1441	85080	32923
1442	85157	32870
1443	85216	32811
1444	85275	32752
1445	85336	32694
1446	85396	32635
1447	85461	32579
1448	85524	32521
1449	85586	32463
1450	85650	32406
1451	85723	32353
1452	85785	32294
1453	85849	32237
1454	85907	32178
1455	85967	32119
1456	86036	32064
1457	86111	32011
1458	86171	31952
1459	86240	31897
1460	86314	31843
1461	86375	31785
1462	86439	31728
1463	86498	31668
1464	86560	31610
1465	86633	31556
1466	86698	31499
1467	86764	31443
1468	86832	31387
1469	86903	31332
1470	86972	31276
1471	87039	31220
1472	87095	31160
1473	87167	31106
1474	87232	31048
1475	87301	30993
1476	87368	30936
1477	87430	30878
1478	87496	30821
1479	87559	30764
1480	87630	30709
1481	87688	30649
1482	87753	30592
1483	87813	30533
1484	87875	30475
1485	87930	30414
1486	87993	30356
1487	88059	30299
1488	88129	30244
1489	88193	30187
1490	88257	30129
1491	88327	30073
1492	88390	30016
1493	88452	29957
1494	88518	29900
1495	88583	29843
1496	88653	29788
1497	88718	29730
1498	88784	29673
1499	88845	29615
1500	88914	29559
1501	88971	29499
1502	89032	29440
1503	89096	29382
1504	89173	29329
1505	89234	29270
1506	89304	29215
1507	89367	29157
1508	89440	29102
1509	89499	29042
1510	89562	28984
1511	89627	28927
1512	89681	28866
1513	89748	28809
1514	89807	28750
1515	89868	28691
1516	89936	28635
1517	90000	28577
1518	90070	28521
1519	90142	28465
1520	90198	28405
1521	90267	28349
1522	90329	28290
1523	90392	28232
1524	90451	28173
1525	90521	28117
1526	90592	28061
1527	90651	28002
1528	90711	27943
1529	90779	27886
1530	90851	27831
1531	90924	27775
1532	90985	27716
1533	91041	27656
1534	91107	27599
1535	91171	27541
1536	91235	27483
1537	91299	27425
1538	91368	27368
1539	91431	27310
1540	91499	27253
1541	91563	27196
1542	91621	27136
1543	91688	27078
1544	91753	27021
1545	91808	26960
1546	91884	26906
1547	91947	26847
1548	92014	26790
1549	92082	26733
1550	92144	26674
1551	92202	26615
1552	92270	26558
1553	92336	26500
1554	92398	26442
1555	92461	26383
1556	92520	26323
1557	92584	26265
1558	92644	26206
1559	92713	26149
1560	92772	26090
1561	92832	26031
1562	92889	25971
1563	92947	25911
1564	93006	25851
1565	93063	25791
1566	93124	25732
1567	93199	25677
1568	93263	25619
1569	93329	25561
1570	93387	25501
1571	93455	25444
1572	93514	25385
1573	93581	25327
1574	93642	25268
1575	93712	25212
1576	93769	25151
1577	93827	25092
1578	93887	25032
1579	93953	24975
1580	94014	24915
1581	94074	24856
1582	94134	24797
1583	94202	24740
1584	94273	24683
1585	94329	24623
1586	94390	24564
1587	94455	24506
1588	94522	24448
1589	94583	24389
1590	94645	24330
1591	94711	24272
1592	94778	24215
1593	94855	24160
1594	94919	24101
1595	94983	24043
1596	95053	23986
1597	95116	23927
1598	95187	23871
1599	95263	23815
1600	95329	23758
1601	95389	23698
1602	95449	23639
1603	95514	23580
1604	95586	23524
1605	95650	23465
1606	95712	23406
1607	95776	23348
1608	95839	23289
1609	95897	23229
1610	95965	23172
1611	96031	23114
1612	96095	23055
1613	96157	22996
1614	96219	22937
1615	96279	22878
1616	96345	22820
1617	96410	22761
1618	96474	22703
1619	96539	22644
1620	96611	22588
1621	96689	22533
1622	96752	22474
1623	96818	22416
1624	96875	22355
1625	96951	22300
1626	97013	22240
1627	97077	22182
1628	97135	22122
1629	97196	22062
1630	97266	22005
1631	97331	21947
1632	97388	21887
1633	97451	21828
1634	97525	21771
1635	97586	21712
1636	97657	21655
1637	97715	21595
1638	97777	21536
1639	97835	21475
1640	97905	21418
1641	97964	21358
1642	98032	21301
1643	98093	21241
1644	98169	21185
1645	98227	21125
1646	98289	21066
1647	98361	21009
1648	98425	20950
1649	98488	20891
1650	98550	20832
1651	98622	20775
1652	98685	20716
1653	98760	20659
1654	98825	20601
1655	98892	20542
1656	98947	20482
1657	99009	20422
1658	99078	20365
1659	99140	20305
1660	99201	20246
